index,word,품사,,
130,자격,Noun,,
132,있나,Adjective,,
133,하는,Verb,,
134,고민,Noun,,
136,있었으니까,Adjective,,
137,요,Noun,,
139,출판,Noun,,
140,담당자,Noun,,
142,“,Foreign,,
146,아니기에,Adjective,,
147,고사,Noun,,
148,합니다,Verb,,
150,조금,Noun,,
152,성장한,Adjective,,
153,후,Noun,,
155,좋은,Adjective,,
157,깊이,Noun,,
158,생각,Noun,,
160,보겠습니다,Verb,,
161,”,Foreign,,
162,라고,Josa,,
163,조심,Noun,,
164,스레,Noun,,
165,거절,Noun,,
167,뜻,Noun,,
169,밝혔습니다,Verb,,
172,그러다,Adjective,,
173,참가,Noun,,
174,하게,Verb,,
176,광저우,Noun,,
177,아시안,Noun,,
178,게임,Noun,,
180,몇,Noun,,
181,년,Noun,,
185,따라다녔던,Verb,,
186,같은,Adjective,,
187,질문,Noun,,
189,자연스레,Adverb,,
190,해소,Noun,,
191,시켜,Verb,,
192,주었습니다,Verb,,
194,그로,Noun,,
195,인해,Adjective,,
198,사라진것은,Verb,,
199,물론,Adverb,,
201,야구,Noun,,
205,기회,Noun,,
207,주어졌습니다,Verb,,
209,많은,Adjective,,
210,언론,Noun,,
212,대중,Noun,,
216,와,Verb,,
218,향후,Noun,,
219,거취,Noun,,
221,관심,Noun,,
223,가져,Verb,,
224,주었고,Verb,,
227,그,Noun,,
228,수많은,Adjective,,
231,부름에,Verb,,
232,답,Noun,,
233,하면서,Verb,,
237,대해,Noun,,
238,서도,Noun,,
241,열고,Verb,,
244,용기,Noun,,
246,낼,Noun,,
252,새로운,Adjective,,
253,기,Noun,,
256,서,Verb,,
257,있는,Adjective,,
258,지금,Noun,,
259,이야말로,Josa,,
262,미국,Noun,,
263,에서,Josa,,
264,겪은,Verb,,
265,지난,Noun,,
266,10년,Number,,
268,경험,Noun,,
271,생생하게,Adjective,,
272,독자,Noun,,
275,나눌,Verb,,
277,있을,Adjective,,
279,이라,Verb,,
281,했고,Verb,,
284,사소한,Adjective,,
289,꿈,Noun,,
290,나무,Noun,,
293,그런,Adjective,,
294,자녀,Noun,,
296,둔,Verb,,
300,시련,Noun,,
301,앞,Noun,,
303,끊임없이,Adjective,,
304,물음표,Noun,,
306,던지는,Verb,,
310,도움,Noun,,
312,될,Verb,,
314,있지,Adjective,,
315,않을까,Verb,,
317,되었습니다,Verb,,
322,시작,Noun,,
323,한,Verb,,
325,부터,Noun,,
326,치면,Noun,,
327,20년,Number,,
331,첫,Noun,,
332,발,Noun,,
334,내딛은,Verb,,
336,로부터,Noun,,
342,짧다면,Adjective,,
343,짧고,Adjective,,
344,길다면,Verb,,
345,긴,Verb,,
347,시간,Noun,,
350,결코,Noun,,
352,게,Noun,,
353,녹록한,Adjective,,
356,안겨주지는,Verb,,
357,않더군요,Verb,,
359,운동선수,Noun,,
361,떼려야,Verb,,
362,뗄,Verb,,
364,없는,Adjective,,
365,지옥,Noun,,
366,훈련,Noun,,
368,유망,Noun,,
369,주,Noun,,
371,꼬리표,Noun,,
373,달고서도,Verb,,
374,비슷한,Adjective,,
375,선수,Noun,,
377,사이,Noun,,
379,보내야,Verb,,
381,5년,Number,,
382,반의,Noun,,
383,치열한,Adjective,,
384,마이너,Noun,,
385,리그,Noun,Punctuation,
386,생활,Noun,,
388,가족,Noun,,
390,생기,Noun,,
393,겪어,Verb,,
394,본,Verb,,
395,책임감,Noun,,
397,생활고,Noun,,
399,잊을,Verb,,
400,만하,Noun,,
401,면,Noun,,
402,나를,Verb,,
403,재활,Noun,,
406,수술대,Noun,,
408,오르게,Verb,,
410,부상,Noun,,
412,그리고,Conjunction,,
413,너무나,Adverb,,
414,그리운,Adjective,,
417,대한,Noun,,
418,향수,Noun,,
419,까지,Josa,,
420,…,Punctuation,,
421,차라리,Noun,,
423,만,Noun,,
425,하며,Verb,,
426,강도,Noun,,
427,높은,Adjective,,
430,24시간,Number,,
