index,word,Word Type,Frequency
4795,역시,Noun,14
5336,이어졌다,Verb,14
4816,연속,Noun,14
4500,않은,Verb,14
2090,떨어졌다,Verb,14
2640,몰랐다,Verb,14
339,겨우,Noun,14
7139,프리,Noun,14
6389,차이,Noun,14
1351,느낌,Noun,14
2386,많았다,Adjective,13
3979,쉽게,Verb,13
2170,라면,Noun,13
7077,평소,Noun,13
4025,스트레스,Noun,13
7635,후배,Noun,13
1185,냈다,Verb,13
2601,모른다,Verb,13
5783,전반,Noun,13
4841,열심히,Adverb,13
1683,도착,Noun,13
1441,다행히,Adjective,13
3842,셀러,Noun,13
6564,초등학교,Noun,13
1600,대한민국,Noun,13
522,관중,Noun,13
2406,말씀,Noun,13
3584,사진,Noun,13
4015,스타,Noun,13
5953,좋게,Adjective,13
1561,대답,Noun,13
5886,제안,Noun,13
2508,먹고,Verb,13
7420,해트트릭,Noun,13
4343,아니었다,Adjective,13
5308,이름,Noun,13
369,결정,Noun,13
4161,실력,Noun,13
1319,누구,Noun,13
2575,명단,Noun,13
3143,보냈다,Verb,12
5103,운동장,Noun,12
6055,주위,Noun,12
5784,전반전,Noun,12
3590,사흘,Noun,12
61,가슴,Noun,12
2702,무조건,Noun,12
3148,보는,Verb,12
2562,멕시코,Noun,12
6600,추가,Noun,12
589,국민,#N/A,12
5447,일상,Noun,12
6566,초반,Noun,12
4214,싶다는,Verb,12
6277,진수,Noun,12
7136,프로그램,Noun,12
5877,정확히,Adjective,12
6846,태극기,#N/A,12
450,곧바로,Noun,12
5152,원래,Noun,12
4741,었다,Noun,12
5619,자주,Noun,12
1784,동점골,Noun,12
4693,엄청난,Adjective,12
4087,시장,#N/A,12
5408,인사,Noun,12
2918,받아,Verb,12
2877,박스,Noun,12
2255,리버풀,Noun,12
7430,했는데,Verb,12
4641,어머니,Noun,12
1241,넣은,Verb,12
474,공격,Noun,12
6063,주전,#N/A,12
5582,자동차,Noun,12
3149,보니,Verb,12
3123,보고,Noun,12
2143,뛰었다,Verb,12
3182,보여,Verb,12
1463,단장,#N/A,11
2697,무엇,Noun,11
784,기사,Noun,11
2305,마치,Noun,11
7659,휴식,Noun,11
7657,휴가,Noun,11
4747,에너지,Noun,11
3451,비행기,Noun,11
4502,않을,Verb,11
6797,크로스,Noun,11
6625,출발,Noun,11
5444,일본,Noun,11
6620,춘천,Noun,11
7434,했다고,Verb,11
5542,있었던,Adjective,11
687,그만큼,Adverb,11
3118,별로,Noun,11
4369,아무리,Adverb,11
4212,싶다,Verb,11
457,골로,Noun,11
2811,믿을,Verb,11
7653,휘슬,Noun,11
492,공항,Noun,11
6586,최대한,Noun,11
1763,동기,Noun,11
5432,일단,Noun,11
6719,칭찬,Noun,11
7229,하던,Verb,11
3037,버스,#N/A,11
1048,나이,Noun,11
4684,얼굴,Noun,11
7053,펠러,#N/A,11
1687,독일어,Noun,11
960,끼리,Noun,11
2895,반대,Noun,11
6554,첼시,Noun,11
4796,역전,Noun,11
6011,주는,Verb,11
4623,어려웠다,Adjective,11
1742,돌아온,Verb,11
3285,부모님,Noun,11
4992,와중,Noun,11
6578,촬영,Noun,11
454,골대,Noun,11
7453,했지만,Verb,10
1807,되면,Verb,10
4359,아래,Noun,10
6134,중학교,Noun,10
3758,선생님,Noun,10
5690,장면,Noun,10
221,개막,Noun,10
4543,앞두고,Verb,10
507,과정,Noun,10
6210,지도자,Noun,10
6058,주인공,Noun,10
7568,홋스퍼,Noun,10
6262,직원,Noun,10
718,금액,#N/A,10
2284,마무리,Noun,10
2058,때린,Verb,10
4107,식구,Noun,10
7198,하기가,Verb,10
180,강하게,Adjective,10
5068,용이,Noun,10
7103,표현,Noun,10
6420,참가,Noun,10
2961,발표,Noun,10
1795,되기,Verb,10
303,걸어,Verb,10
7091,포함,Noun,10
4105,시티,Noun,10
252,거야,Eomi,10
1537,당장,Noun,10
410,고등학교,Noun,10
7488,허용,Noun,10
5920,조언,Noun,10
5424,인터넷,Noun,10
1054,나중,Noun,10
1481,달랐다,Adjective,10
3723,서로,Noun,10
1904,드리블,Noun,10
7041,페널티,Noun,10
6589,최선,Noun,10
6945,트레이닝,Noun,10
475,공격수,Noun,10
256,거짓말,Noun,10
7276,하자,Noun,10
4005,스웨덴,#N/A,10
6873,터트렸다,Noun,10
843,깜짝,Noun,10
4977,올림픽,#N/A,10
3866,소식,Noun,10
1367,니스,Noun,10
5816,전화,Noun,10
5277,이동,Noun,10
3517,뽑아,Verb,10
3923,수비,Noun,10
5240,의미,Noun,10
6776,코칭스태프,Noun,10
6550,체중,Noun,9
4020,스태프,Noun,9
7102,표정,Noun,9
665,그렇다,Adjective,9
4610,어떤,Adjective,9
3230,본다,Verb,9
656,그런데,Conjunction,9
1336,눈앞,Noun,9
3995,스러웠다,Adjective,9
6948,트리,Noun,9
1036,나온,Verb,9
6947,트로피,Noun,9
634,그대로,Noun,9
7404,해외,Noun,9
6067,주지,Noun,9
1108,남아,Noun,9
1028,나오는,Verb,9
100,각종,Noun,9
1320,누군가,Noun,9
4017,스타일,Noun,9
1774,동시,#N/A,9
7321,한번,Noun,9
6490,챔피언,#N/A,9
873,꼬마,Noun,9
5787,전부,Noun,9
7263,하신다,Verb,9
6268,직후,Noun,9
6304,집중,Noun,9
7042,페널티킥,Noun,9
796,기용,#N/A,9
7307,한다고,Verb,9
6587,최상,Noun,9
99,각자,Noun,9
1224,넣고,Verb,9
2186,라커룸,#N/A,9
2003,듯이,Noun,9
4228,싶은,Verb,9
5935,존재,Noun,9
1172,내일,Noun,9
2214,레인,#N/A,9
1958,들어간,Verb,9
1749,돌아왔다,Verb,9
4016,스타디움,#N/A,9
3114,변화,Noun,9
3999,스마트폰,Noun,9
3286,부분,Noun,9
7364,해결,Noun,9
3811,세계,Noun,9
3294,부여,Noun,9
3194,보이는,Verb,9
1960,들어갈,Verb,9
2569,며칠,Noun,9
7084,포지션,Noun,9
587,국내,Noun,9
1288,놀랐다,Verb,9
5904,조건,Noun,9
7222,하다,Verb,9
6713,침대,Noun,9
4764,엘리트,Noun,9
6889,테스트,Noun,9
3776,설명,Noun,9
3764,선정,Noun,9
4772,여러,Noun,9
7527,형도,Noun,9
523,관중석,Noun,9
4065,시내,Noun,9
1599,대한,Noun,9
1893,드디어,Adverb,9
5551,있으면,Adjective,9
7597,확정,Noun,9
6867,터졌다,Verb,9
1794,되고,Verb,9
558,구경,Noun,9
1602,대화,Noun,9
364,결승골,Noun,9
7428,했고,Verb,9
2360,만약,Noun,9
3934,수업,Noun,9
4817,연수,Noun,9
5351,이었던,Verb,9
5220,유학,Noun,9
6929,투입,Noun,9
5971,좋아하는,Adjective,9
6932,투지,Noun,9
3787,성격,Noun,9
3534,뿐이었다,Adjective,9
3548,사랑,Noun,9
7584,화이트,#N/A,9
1649,데뷔전,Noun,8
4535,알제리,Noun,8
2308,마친,Verb,8
948,끝날,Verb,8
6085,준결승,Noun,8
1842,된다고,Verb,8
7703,희망,Noun,8
2599,모르는,Verb,8
5376,이틀,Noun,8
2231,로이,Noun,8
1662,도르트문트,Noun,8
2952,발목,Noun,8
7216,하는지,Verb,8
1432,다큐멘터리,#N/A,8
1577,대승,#N/A,8
7215,하는데,Verb,8
4290,쓰러졌다,Verb,8
5528,있어,Adjective,8
5525,있다면,#N/A,8
2596,모르겠다,Verb,8
7201,하기로,Verb,8
4865,영웅,Noun,8
7356,합의,Noun,8
5100,운동,Noun,8
2904,반응,Noun,8
6783,쾰른,Noun,8
3901,손흥민,Noun,8
5507,있게,Adjective,8
7340,할머니,Noun,8
1496,달리,Noun,8
4110,식사,Noun,8
2341,만났다,Verb,8
6228,지옥,Noun,8
94,각각,Noun,8
2401,말로,Noun,8
2179,라이벌,Noun,8
5001,완장,#N/A,8
460,골은,Verb,8
5192,유나이티드,Noun,8
1764,동네,Noun,8
5517,있는데,Adjective,8
5989,좋을,Adjective,8
809,긴장,Noun,8
5622,자체,Noun,8
465,골인,Noun,8
805,기준,Noun,8
1198,넘게,Verb,8
2936,받은,Verb,8
7324,한식,Noun,8
1440,다행,Noun,8
4171,실점,Noun,8
5828,절차,Noun,8
6998,판단,Noun,8
4799,역할,Noun,8
950,끝났다,Verb,8
3636,상대로,Noun,8
6086,준다,#N/A,8
7238,하려고,Verb,8
4172,실제,Noun,8
6656,측면,Noun,8
5905,조광래,Noun,8
7458,행복하게,Adjective,8
4963,올랐다,Verb,8
5521,있다고,Adjective,8
4902,오래,Adverb,8
4218,싶어서,Verb,8
6035,주셨다,Verb,8
204,같아서,#N/A,8
6505,처리,Noun,8
2094,떨어진,Verb,8
171,강등,#N/A,8
2629,목표,#N/A,8
4807,연락,Noun,8
3249,봤던,Verb,8
981,나갔다,Verb,8
2285,마사지,Noun,8
1926,들고,Verb,8
3224,복잡한,Adjective,8
177,강조,Noun,8
2594,모르게,Verb,8
639,그래서,Adverb,8
2531,멀리,Noun,8
6619,축하,Noun,8
4142,신세,Noun,8
5595,자마자,Noun,8
20,가능성,Noun,8
996,나라,Noun,8
2053,때렸다,Verb,8
4089,시점,Noun,8
6422,참고,Noun,8
6019,주말,Noun,8
4599,어깨,Noun,8
3257,부담,#N/A,8
5678,잡은,Verb,8
4076,시설,#N/A,8
6199,지내는,Verb,8
2675,무너졌다,#N/A,8
45,가면,Noun,8
3687,생겼다,Verb,8
5472,일주일,Noun,8
1612,더비,Noun,8
2293,마음대로,Noun,8
6233,지점,Noun,8
4818,연습,Noun,8
3854,소름,Noun,8
4751,에릭,#N/A,8
545,굉장히,Adjective,8
1722,돌아갔다,#N/A,8
1530,당시,Noun,8
7153,피로,Noun,8
4823,연장,Noun,7
2619,모인,Verb,7
5908,조금씩,Adverb,7
5173,웨스트햄,#N/A,7
4669,언제나,Adverb,7
7532,형편,Noun,7
4791,역사,Noun,7
3883,속도,Noun,7
3706,생애,Noun,7
6871,터치,Noun,7
5230,음식,Noun,7
3240,볼프스부르크,#N/A,7
1549,당황,Noun,7
5672,잡았다,Verb,7
1082,날아갔다,Verb,7
1474,달라,Noun,7
2086,떨어,Verb,7
6361,차고,Noun,7
1995,들을,Verb,7
2087,떨어져,Verb,7
3581,사정,Noun,7
98,각오,Noun,7
4379,아스널,#N/A,7
7285,하프타임,Noun,7
4824,연장전,Noun,7
1038,나올,Verb,7
4785,여전히,#N/A,7
4231,싶지,#N/A,7
1744,돌아올,Verb,7
2132,뛰어,Verb,7
7250,하반기,Noun,7
7717,힘든,Adjective,7
4580,약간,Noun,7
4937,오후,Noun,7
3538,사고,Noun,7
1531,당신,Noun,7
4584,약한,Adjective,7
1156,내렸다,Verb,7
1571,대부분,Noun,7
5063,요청,Noun,7
7080,포기,Noun,7
12,가끔,Noun,7
4012,스코어,#N/A,7
3878,소집,#N/A,7
2547,메뉴,Noun,7
7200,하기도,Verb,7
2896,반대편,#N/A,7
4914,오른발,Noun,7
5666,잡는,Verb,7
2876,박수,Noun,7
1536,당일,Noun,7
6365,차는,Verb,7
2627,목소리,Noun,7
7722,힘들다,Adjective,7
3332,분명히,#N/A,7
7241,하려면,Verb,7
4627,어렵다,Adjective,7
1018,나선,Noun,7
4933,오프,Noun,7
5683,장거리,#N/A,7
4986,와서,Verb,7
6183,지나갔다,Verb,7
4390,아예,Noun,7
315,검사,Noun,7
1008,나쁘지,Adjective,7
5229,은퇴,Noun,7
2770,미리,Noun,7
1114,남은,#N/A,7
7175,필요,Noun,7
987,나눴다,Verb,7
7223,하다가,Verb,7
3840,센터,Noun,7
5186,위치,Noun,7
2301,마찬가지,Noun,7
190,갖고,Verb,7
176,강전,Noun,7
5778,전달,Noun,7
